FID,ICEAREA,H,class_height,class_length
0,1550.140476,1.504766077,Bergy bit,Small
1,1473.835472,3.631825656,Bergy bit,Small
2,1835.662277,3.700271703,Bergy bit,Small
3,1147.006411,4.442562609,Bergy bit,Small
4,1301.157043,3.561785771,Bergy bit,Small
5,2010.043834,1.301804532,Bergy bit,Small
6,2200.659671,6.333587694,Small,Small
7,4571.511919,5.656871941,Small,Medium
8,1646.004731,7.454813676,Small,Small
9,1106.620556,3.640163601,Bergy bit,Small
10,1228.226212,4.110407472,Bergy bit,Small
11,4834.665209,4.502875094,Bergy bit,Medium
12,3881.050712,4.352937215,Bergy bit,Medium
13,1043.404336,3.022597552,Bergy bit,Small
14,7670.540781,6.119143867,Small,Medium
15,463.3567943,3.131372678,Bergy bit,Small
16,4831.551765,3.599696855,Bergy bit,Medium
17,51.65578437,2.043454197,Bergy bit,Bergy bit
18,43.04743561,2.304670574,Bergy bit,Bergy bit
19,57.25303227,2.120913198,Bergy bit,Bergy bit
20,3689.44237,7.13364597,Small,Medium
21,8530.93881,2.984714682,Bergy bit,Medium
22,37.46737269,1.943516458,Bergy bit,Bergy bit
23,33.07846078,1.867905421,Bergy bit,Bergy bit
24,420.6247223,2.181685599,Bergy bit,Small
25,54.50959171,2.090303843,Bergy bit,Bergy bit
26,48.14036265,1.875132446,Bergy bit,Bergy bit
27,75.58141993,2.944653827,Bergy bit,Bergy bit
28,698.6358194,2.047014343,Bergy bit,Small
29,140.2734449,2.76002007,Bergy bit,Bergy bit
30,110.6088995,1.980454449,Bergy bit,Bergy bit
31,794.9390891,1.068746028,Bergy bit,Small
32,49.70266739,1.733814207,Bergy bit,Bergy bit
33,47.29850262,2.118365412,Bergy bit,Bergy bit
34,311.7376446,1.7974415,Bergy bit,Small
35,158.9183855,2.600316249,Bergy bit,Bergy bit
36,3079.21644,7.707900221,Small,Small
37,452.3777363,3.635676112,Bergy bit,Small
38,321.3227437,2.462681828,Bergy bit,Small
39,942.0574094,1.851466261,Bergy bit,Small
40,1255.854928,1.65443716,Bergy bit,Small
41,683.9178272,3.118586181,Bergy bit,Small
42,289.7045134,2.777519912,Bergy bit,Small
43,373.9074684,2.585605452,Bergy bit,Small
44,328.7754632,0.617772496,Growler,Small
45,740.1264373,0.710135066,Growler,Small
46,576.2898106,1.537595745,Bergy bit,Small
47,3171.146081,8.64260452,Small,Small
48,2167.484491,10.53279746,Small,Small
49,1491.836834,2.757616078,Bergy bit,Small
50,2284.195482,1.468195188,Bergy bit,Small
51,936.9331643,3.102042889,Bergy bit,Small
52,187.7428267,2.99392279,Bergy bit,Bergy bit
53,83.39890304,2.017687118,Bergy bit,Bergy bit
54,1208.16906,4.99791442,Bergy bit,Small
55,725.1911214,2.700524215,Bergy bit,Small
56,3014.466618,5.501765355,Small,Small
57,438.4235025,2.47551601,Bergy bit,Small
58,1279.987901,3.518162504,Bergy bit,Small
59,8228.406023,9.982947897,Small,Medium
60,4674.865784,6.212787387,Small,Medium
61,3734.007349,3.413338048,Bergy bit,Medium
62,1646.899346,4.718752158,Bergy bit,Small
63,17311.81585,15.45569062,Medium,Large
64,3042.683695,4.273535268,Bergy bit,Small
65,489.5446212,2.491595999,Bergy bit,Small
66,329.7492268,3.247065607,Bergy bit,Small
67,597.6294439,0.606199229,Growler,Small
68,174.8197598,2.400662146,Bergy bit,Bergy bit
69,153.3440237,2.360638944,Bergy bit,Bergy bit
70,1242.657471,1.776905802,Bergy bit,Small
71,4214.98093,3.607385345,Bergy bit,Medium
72,161.4341678,2.44530674,Bergy bit,Bergy bit
73,1225.909154,1.700313659,Bergy bit,Small
74,2449.175978,2.363565359,Bergy bit,Small
75,1971.446726,2.076870065,Bergy bit,Small
76,7643.966798,4.731982642,Bergy bit,Medium
77,4051.481572,3.357581709,Bergy bit,Medium
78,4997.265275,9.277081018,Small,Medium
79,2575.601897,3.708396647,Bergy bit,Small
80,1596.353915,2.707459001,Bergy bit,Small
81,4189.42978,4.047408766,Bergy bit,Medium
82,1972.815813,2.731089613,Bergy bit,Small
83,1939.137528,3.783891838,Bergy bit,Small
84,2061.696575,1.006574922,Bergy bit,Small
85,479.7227235,0.689281043,Growler,Small
86,6741.416522,5.144930289,Small,Medium
87,31082.60393,10.71037823,Small,Large
88,529.5690374,1.857767218,Bergy bit,Small
89,424.8908552,0.585511977,Growler,Small
90,3159.645225,7.317843271,Small,Small
91,1036.459558,0.838863893,Growler,Small
92,2754.430663,2.417749079,Bergy bit,Small
93,267.3872851,1.998888607,Bergy bit,Small
94,8481.31015,10.1875735,Small,Medium
95,682.8698693,0.240938231,Growler,Small
96,67193.92395,15.40069144,Medium,Very large
97,11882.65702,12.86848881,Small,Medium
98,496.1821609,0.919658163,Growler,Small
99,1285.827709,4.73447987,Bergy bit,Small
100,1801.163011,5.520640797,Small,Small
101,869.0250282,6.239537964,Small,Small
102,695.0539622,2.480793359,Bergy bit,Small
103,12286.20753,9.299560594,Small,Medium
104,685.2495566,1.201312697,Bergy bit,Small
105,672.9904579,1.239535424,Bergy bit,Small
106,1595.120371,5.848246322,Small,Small
107,30.99739718,2.012611624,Bergy bit,Bergy bit
108,24908.09086,19.78718896,Medium,Large
109,1123.718714,1.593817866,Bergy bit,Small
110,1878.787199,2.694246876,Bergy bit,Small
111,920.3836713,4.208254825,Bergy bit,Small
112,3735.659843,5.949283409,Small,Medium
113,6158.5802,11.69272084,Small,Medium
114,4791.419314,3.792048147,Bergy bit,Medium
115,15011.83438,10.33674401,Small,Large
116,20602.0104,4.603559873,Bergy bit,Large
117,3670.486335,5.89674334,Small,Medium
118,400.6239395,0.586703379,Growler,Small
119,967.7259263,3.971742756,Bergy bit,Small
120,1365.174315,3.896192165,Bergy bit,Small
121,22671.16753,12.66269048,Small,Large
122,1548.258291,1.831965228,Bergy bit,Small
123,3752.311348,7.419519506,Small,Medium
124,768.1536195,3.120559878,Bergy bit,Small
125,2816.375349,2.491091299,Bergy bit,Small
126,521.4682343,0.389952789,Growler,Small
127,1211.06636,1.991683822,Bergy bit,Small
