FID,ICEAREA,H,class_height,class_length
0,17467.0118,14.06967317,Small,Large
1,25148.88731,14.39467666,Small,Large
2,24812.18835,19.20445951,Medium,Large
3,4924.912502,9.61265323,Small,Medium
4,510755.4423,47.66987867,Large,Very large
5,25013.58664,16.83364409,Medium,Large
6,6034.223258,5.932677881,Small,Medium
7,138.864315,2.87418135,Bergy bit,Bergy bit
8,16718.08777,12.94828669,Small,Large
9,888.1290164,4.932787437,Bergy bit,Small
10,218.1567983,2.147968993,Bergy bit,Bergy bit
11,694.0874097,2.931812077,Bergy bit,Small
12,1261.566074,3.086590901,Bergy bit,Small
13,503.6753991,2.68270116,Bergy bit,Small
14,39.83437906,1.519171596,Bergy bit,Bergy bit
15,134.4382729,1.526458677,Bergy bit,Bergy bit
16,1411.426111,3.565234819,Bergy bit,Small
17,852.8690893,2.844880489,Bergy bit,Small
18,145.3127906,1.921646798,Bergy bit,Bergy bit
19,1012.040507,2.517309461,Bergy bit,Small
20,1614.212623,3.194776781,Bergy bit,Small
21,2443.427266,5.317035587,Small,Small
22,89.57931223,1.339088032,Bergy bit,Bergy bit
23,131.1186538,2.001965384,Bergy bit,Bergy bit
24,190.3419957,1.869831775,Bergy bit,Bergy bit
25,89.85968073,1.764074984,Bergy bit,Bergy bit
26,45.98428496,1.309123557,Bergy bit,Bergy bit
27,205.0260317,1.356758726,Bergy bit,Bergy bit
28,271.1628967,1.760011232,Bergy bit,Small
29,33.80383104,1.70069036,Bergy bit,Bergy bit
30,1000.317021,3.265361139,Bergy bit,Small
31,1901.704912,2.672054588,Bergy bit,Small
32,64.67061825,0.887919647,Growler,Bergy bit
33,650.3516731,1.828581615,Bergy bit,Small
34,2854.970428,4.847365922,Bergy bit,Small
35,2220.279138,5.503988668,Small,Small
36,515.5861726,2.185565836,Bergy bit,Small
37,2641.895965,5.925237388,Small,Small
38,114.8565805,0.895125799,Growler,Bergy bit
39,2006.446175,6.338741794,Small,Small
40,487.1971549,2.45790948,Bergy bit,Small
41,3552.419459,3.619514215,Bergy bit,Small
42,419.0126548,2.651737986,Bergy bit,Small
43,2220.45555,4.794241105,Bergy bit,Small
44,344.3933299,1.932626828,Bergy bit,Small
45,139.9952397,1.626884487,Bergy bit,Bergy bit
46,179.7508635,3.780711984,Bergy bit,Bergy bit
47,795.6855526,2.883812951,Bergy bit,Small
48,297.8500581,2.104113967,Bergy bit,Small
49,1980.127105,3.458496272,Bergy bit,Small
50,9031.366069,5.284511031,Small,Medium
51,9040.440418,5.125118331,Small,Medium
52,3963.191258,6.196379235,Small,Medium
53,5489.272291,6.614392049,Small,Medium
54,541.6309976,1.912374093,Bergy bit,Small
55,3733.084583,3.837202451,Bergy bit,Medium
56,3734.541887,5.451072635,Small,Medium
57,398.9013774,1.839305054,Bergy bit,Small
58,1255.585368,4.116524409,Bergy bit,Small
59,13981.1918,8.166615367,Small,Medium
60,15802.49405,10.17151647,Small,Large
61,117.6287635,1.115040376,Bergy bit,Bergy bit
62,332.1799739,1.430974613,Bergy bit,Small
63,2234.009845,4.088193507,Bergy bit,Small
64,882.9770264,2.596952829,Bergy bit,Small
65,1452.623873,3.965150482,Bergy bit,Small
66,2014.633566,4.003256146,Bergy bit,Small
67,4425.167061,7.558797137,Small,Medium
68,2631.779947,5.551793749,Small,Small
69,3540.486472,7.691067058,Small,Small
70,768.3231093,4.028851558,Bergy bit,Small
71,3737.059446,6.241056267,Small,Medium
72,358.3620519,2.886470209,Bergy bit,Small
73,155.6027698,2.514564114,Bergy bit,Bergy bit
74,44.36542812,1.731490334,Bergy bit,Bergy bit
75,83.34925105,1.911389656,Bergy bit,Bergy bit
76,467.8604788,2.198050667,Bergy bit,Small
77,1405.841535,3.120003529,Bergy bit,Small
78,1436.21479,2.79023248,Bergy bit,Small
79,232.7499615,1.826827896,Bergy bit,Small
80,9420.346742,7.414970905,Small,Medium
81,2290.30476,4.842503123,Bergy bit,Small
82,1782.58585,3.300732294,Bergy bit,Small
83,12922.96001,10.91886925,Small,Medium
84,993.6399802,3.998663179,Bergy bit,Small
85,2307.352285,3.865200019,Bergy bit,Small
86,8549.209247,7.573881114,Small,Medium
87,322.5364874,3.691205163,Bergy bit,Small
88,32639.69797,24.50631699,Medium,Large
89,633.121786,2.250046264,Bergy bit,Small
90,914.8185696,2.350720335,Bergy bit,Small
91,13552.88503,7.880064316,Small,Medium
92,415.6874353,0.250382356,Growler,Small
93,3928.545534,5.91501342,Small,Medium
94,926.7211636,2.902269394,Bergy bit,Small
95,5769.255771,7.765711878,Small,Medium
96,42689.88503,26.97814489,Medium,Large
97,9212.546778,5.376501288,Small,Medium
98,1595.142079,4.073408397,Bergy bit,Small
99,3660.513594,7.600155465,Small,Medium
100,165386.0807,50.18591327,Large,Very large
101,178154.5626,47.68575225,Large,Very large
102,2722.070857,5.467499336,Small,Small
103,4115.381215,5.841892135,Small,Medium
104,733.5748259,0.846301491,Growler,Small
105,128.8253025,0.360039519,Growler,Bergy bit
106,942.2054088,0.665524096,Growler,Small
107,2905.701376,1.404248702,Bergy bit,Small
108,6145.576807,4.515502148,Bergy bit,Medium
109,171.484718,1.02061232,Bergy bit,Bergy bit
110,33469.54149,20.88237676,Medium,Large
111,21169.57527,10.2511145,Small,Large
112,1525.91031,0.828709584,Growler,Small
113,7055.076834,9.498172708,Small,Medium
114,639.2559408,1.344409747,Bergy bit,Small
115,308.7903801,0.316844663,Growler,Small
116,2851.708212,7.39704557,Small,Small
117,2435.740759,2.25569139,Bergy bit,Small
118,2165.868747,3.944225442,Bergy bit,Small
119,11692.78422,12.52588015,Small,Medium
120,161.3606498,0.477560184,Growler,Bergy bit
121,8942.040174,7.740351799,Small,Medium
122,20988.53368,4.015803643,Bergy bit,Large
123,3014.54456,6.009405335,Small,Small
124,262.72734,2.19789356,Bergy bit,Small
125,1451.615806,1.459606975,Bergy bit,Small
126,428.3400704,2.676748157,Bergy bit,Small
127,485.8758177,3.151935816,Bergy bit,Small
128,297.1171097,2.429427505,Bergy bit,Small
129,1065.702736,3.40214157,Bergy bit,Small
130,324.8116375,3.068682568,Bergy bit,Small
131,703.5548346,5.636477866,Small,Small
132,940.2866588,0.252977024,Growler,Small
133,5739.953236,5.357416722,Small,Medium
134,1181.705992,2.643007821,Bergy bit,Small
135,10185.23472,12.63050635,Small,Medium
136,6658.419455,11.19152731,Small,Medium
