FID,ICEAREA,H,class_height,class_length
138,2084.583271,3.339784241,Bergy bit,Small
139,5920.481672,5.115334453,Small,Medium
140,311.3349028,4.048035336,Bergy bit,Small
141,577.3629692,2.356021285,Bergy bit,Small
142,316.6197193,4.216317757,Bergy bit,Small
143,4140.601695,12.00511199,Small,Medium
144,2000.217356,7.021484728,Small,Small
145,5314.515965,10.15830982,Small,Medium
146,161.3503938,2.934626388,Bergy bit,Bergy bit
147,134.351049,3.400618906,Bergy bit,Bergy bit
148,54.77437705,3.534539029,Bergy bit,Bergy bit
149,53.54718196,3.241917968,Bergy bit,Bergy bit
150,38.96139753,2.640281045,Bergy bit,Bergy bit
151,17503.31943,16.14557977,Medium,Large
152,3119.739635,6.76084356,Small,Small
153,11074.08203,11.83188058,Small,Medium
154,2776.52387,4.74826957,Bergy bit,Small
155,57.87798929,3.125606843,Bergy bit,Bergy bit
156,6994.055127,5.464252755,Small,Medium
157,3239.853588,5.687940943,Small,Small
158,548.6147455,5.261195197,Small,Small
159,488.3591939,5.812128901,Small,Small
160,160.4448113,3.087457842,Bergy bit,Bergy bit
161,2276.434188,3.725787448,Bergy bit,Small
162,795.2120662,2.522180357,Bergy bit,Small
163,152.997782,4.043961244,Bergy bit,Bergy bit
164,1497.846154,4.829271782,Bergy bit,Small
165,191.7866547,3.756228223,Bergy bit,Bergy bit
166,1116.074298,6.649305967,Small,Small
167,171.4497435,1.843630521,Bergy bit,Bergy bit
168,38.88752377,4.232482456,Bergy bit,Bergy bit
169,2218.635103,2.867407625,Bergy bit,Small
170,1954.457424,4.03000416,Bergy bit,Small
171,3130.820623,8.800734697,Small,Small
172,8421.159844,11.11529501,Small,Medium
173,10914.78584,14.8110329,Small,Medium
174,101997.436,15.15316745,Medium,Very large
175,2040.621968,3.918527797,Bergy bit,Small
176,73.84296513,3.599769335,Bergy bit,Bergy bit
177,187.7359197,3.292604603,Bergy bit,Bergy bit
178,75.32423151,4.977290685,Bergy bit,Bergy bit
179,21698.43201,13.58784043,Small,Large
180,4835.4611,7.894201837,Small,Medium
181,45.88618481,4.699197579,Bergy bit,Bergy bit
182,1686.054482,6.466597078,Small,Small
183,198.0051964,3.633747974,Bergy bit,Bergy bit
184,890.9525734,1.442843476,Bergy bit,Small
185,151.9659001,2.931300299,Bergy bit,Bergy bit
186,25085.51036,13.07175097,Small,Large
187,1024.982275,3.391734572,Bergy bit,Small
188,11036.78675,11.32288966,Small,Medium
189,2320.355647,7.670931661,Small,Small
190,25498.46136,20.57344285,Medium,Large
191,1287.142787,2.463934209,Bergy bit,Small
192,508.0110465,2.923548767,Bergy bit,Small
193,546.1510445,4.116020976,Bergy bit,Small
194,90823.7402,38.10788176,Medium,Very large
195,640.0104539,3.79863005,Bergy bit,Small
196,39.76356608,3.168370368,Bergy bit,Bergy bit
197,2697.976373,6.503315488,Small,Small
198,1196.804826,5.633079986,Small,Small
199,145.3552722,2.45484683,Bergy bit,Bergy bit
200,1010.984663,3.021252075,Bergy bit,Small
201,172.2401003,2.539685455,Bergy bit,Bergy bit
202,1345.279082,5.039849783,Small,Small
203,3132.183888,7.357000157,Small,Small
204,25164.281,23.71964745,Medium,Large
205,72.57445383,2.760499181,Bergy bit,Bergy bit
206,1622.657029,6.354967391,Small,Small
207,14222.95688,12.10998064,Small,Medium
208,514.3149076,2.950109516,Bergy bit,Small
209,4743.826334,5.24382954,Small,Medium
210,137.0321265,3.390720751,Bergy bit,Bergy bit
211,6355.964448,12.42597217,Small,Medium
212,61.51552451,2.936981483,Bergy bit,Bergy bit
213,2995.232033,8.139153425,Small,Small
214,33.28542686,2.58567029,Bergy bit,Bergy bit
215,229.2259098,3.592952018,Bergy bit,Small
216,598.7743912,3.838075574,Bergy bit,Small
217,258.4436299,2.990391427,Bergy bit,Small
218,3933.413079,8.154033958,Small,Medium
219,479.430799,3.598371642,Bergy bit,Small
220,1949.174617,3.98942167,Bergy bit,Small
221,41.6255911,3.51989485,Bergy bit,Bergy bit
222,697.1936672,4.268907612,Bergy bit,Small
223,13938.70038,12.94462553,Small,Medium
224,2121.102627,4.417394067,Bergy bit,Small
225,576.8416799,3.457336678,Bergy bit,Small
226,38.81274676,3.294189111,Bergy bit,Bergy bit
227,21729.94179,17.31577451,Medium,Large
228,5912.780637,7.989489772,Small,Medium
229,992.2158626,5.376910511,Small,Small
230,35.8814851,2.677706235,Bergy bit,Bergy bit
231,44.65728247,2.569292839,Bergy bit,Bergy bit
232,569.0529095,4.14322355,Bergy bit,Small
233,265.5942,6.856900392,Small,Small
234,60.30731642,2.60497086,Bergy bit,Bergy bit
235,8317.643699,5.816540842,Small,Medium
236,554.6429449,8.81160107,Small,Small
237,12101.99785,15.90032528,Medium,Medium
238,260.95603,4.312867023,Bergy bit,Small
239,55.71954966,2.692794685,Bergy bit,Bergy bit
240,34.22132075,3.081429958,Bergy bit,Bergy bit
241,40.85338747,2.791529941,Bergy bit,Bergy bit
242,84.64552546,3.458634432,Bergy bit,Bergy bit
243,333.1915317,2.90449773,Bergy bit,Small
244,66.53073418,3.235973656,Bergy bit,Bergy bit
245,804.3769395,3.550255124,Bergy bit,Small
246,932.6159496,3.846449811,Bergy bit,Small
247,37.07116401,3.011707013,Bergy bit,Bergy bit
248,708.8005369,3.279041345,Bergy bit,Small
249,73.52225578,3.110735514,Bergy bit,Bergy bit
