FID,ICEAREA,H,class_height,class_length
0,2898.939941,6.754750271,Small,Small
1,832.4710083,3.938888689,Bergy bit,Small
2,30.8202991,2.470718062,Bergy bit,Bergy bit
3,30911.5,14.97471761,Small,Large
4,1613.650024,2.55073635,Bergy bit,Small
5,40.540699,2.376013208,Bergy bit,Bergy bit
6,331090,46.85014162,Large,Very large
7,283.5920105,3.300512418,Bergy bit,Small
8,1680.530029,3.15780557,Bergy bit,Small
9,30.1399002,2.172152044,Bergy bit,Bergy bit
10,1371.599976,2.686894259,Bergy bit,Small
11,1450.349976,2.998929951,Bergy bit,Small
12,31.6811008,2.1011254,Bergy bit,Bergy bit
13,2008,4.270144713,Bergy bit,Small
14,152713,48.671424,Large,Very large
15,905.78302,2.902919703,Bergy bit,Small
16,1900.089966,2.953735937,Bergy bit,Small
17,5546.02002,5.347441098,Small,Medium
18,410.6239929,2.688178755,Bergy bit,Small
19,35.612999,2.288108354,Bergy bit,Bergy bit
20,72.4804001,2.416856848,Bergy bit,Bergy bit
21,324.8510132,2.526223294,Bergy bit,Small
22,144.4049988,2.471691184,Bergy bit,Bergy bit
23,60.722599,2.20653045,Bergy bit,Bergy bit
24,1702.199951,3.875745396,Bergy bit,Small
25,824.4569702,2.996708636,Bergy bit,Small
26,53.3986015,2.535355644,Bergy bit,Bergy bit
27,58.9272003,2.164643157,Bergy bit,Bergy bit
28,584.8579712,2.643933726,Bergy bit,Small
29,457.9620056,2.494614613,Bergy bit,Small
30,8300.480469,4.777507837,Bergy bit,Medium
31,434.6809998,2.417662844,Bergy bit,Small
32,1972.5,5.810598975,Small,Small
33,102.5250015,2.140986638,Bergy bit,Bergy bit
34,29608.30078,10.6543209,Small,Large
35,54.4693985,2.041443892,Bergy bit,Bergy bit
36,551.723999,2.533399335,Bergy bit,Small
37,457.9960022,2.945013465,Bergy bit,Small
38,929.0570068,3.685831152,Bergy bit,Small
39,3735.209961,2.96999105,Bergy bit,Medium
40,147.0859985,2.379624123,Bergy bit,Bergy bit
41,240027,37.59511027,Medium,Very large
42,204.3890076,2.294054964,Bergy bit,Bergy bit
43,622.4959717,3.375999739,Bergy bit,Small
44,36.710701,2.099871345,Bergy bit,Bergy bit
45,35.4487991,2.204243955,Bergy bit,Bergy bit
46,316.2879944,2.546695541,Bergy bit,Small
47,15885.09961,5.479053526,Small,Large
48,44.8529015,2.613456227,Bergy bit,Bergy bit
49,75.7870026,2.237207584,Bergy bit,Bergy bit
50,89.1565018,2.24921172,Bergy bit,Bergy bit
51,643.0269775,2.211481917,Bergy bit,Small
52,781.5700073,4.518191589,Bergy bit,Small
53,36.469799,2.276956057,Bergy bit,Bergy bit
54,466.3179932,2.717506022,Bergy bit,Small
55,6989.870117,9.742478247,Small,Medium
56,35.5698013,2.256127883,Bergy bit,Bergy bit
57,83.8548965,2.72942752,Bergy bit,Bergy bit
58,40.0536003,2.11383648,Bergy bit,Bergy bit
59,154708,22.38889512,Medium,Very large
60,56723,18.48103248,Medium,Very large
61,644.8179932,3.651480169,Bergy bit,Small
62,620.5419922,2.424716496,Bergy bit,Small
63,3364.830078,2.958715749,Bergy bit,Small
64,219.1790009,2.635558278,Bergy bit,Bergy bit
65,270.42099,2.598471477,Bergy bit,Small
66,1078.979981,2.996113591,Bergy bit,Small
67,300.6830139,2.455394478,Bergy bit,Small
68,104.2340012,2.215128275,Bergy bit,Bergy bit
69,5431.410156,8.439730269,Small,Medium
70,8449.139648,4.927112929,Bergy bit,Medium
71,1455.209961,2.98732484,Bergy bit,Small
72,971.4559937,1.752757416,Bergy bit,Small
73,1723.599976,2.62714454,Bergy bit,Small
74,2722.379883,4.5626586,Bergy bit,Small
75,1367.02002,1.338977395,Bergy bit,Small
76,2388.100098,6.671286216,Small,Small
77,2060.659912,2.126623172,Bergy bit,Small
78,5372.970215,4.647689175,Bergy bit,Medium
79,2669.100098,6.017191497,Small,Small
80,545.5709839,1.128831066,Bergy bit,Small
81,635.3859863,5.670920251,Small,Small
82,220.6450043,2.343638697,Bergy bit,Bergy bit
83,1173.810059,3.914774442,Bergy bit,Small
84,40.271801,2.209863217,Bergy bit,Bergy bit
85,309.5570068,2.297021388,Bergy bit,Small
86,11681.09961,6.818997705,Small,Medium
87,1559.449951,3.622820743,Bergy bit,Small
88,653.4559937,3.858003294,Bergy bit,Small
89,1024.75,3.740626186,Bergy bit,Small
90,973.6500244,5.728316311,Small,Small
91,758.8930054,2.014459038,Bergy bit,Small
92,1874.949951,2.505788025,Bergy bit,Small
93,467.82901,2.502397999,Bergy bit,Small
94,270.0140076,2.362343266,Bergy bit,Small
95,505.2749939,1.13480222,Bergy bit,Small
96,97.6648026,2.587955062,Bergy bit,Bergy bit
97,344.8919983,1.494025405,Bergy bit,Small
98,795.7050171,2.713005371,Bergy bit,Small
99,751.9050293,1.937936993,Bergy bit,Small
100,249.7120056,4.076691266,Bergy bit,Small
101,1073.829956,3.453369849,Bergy bit,Small
102,550.4060059,1.997055228,Bergy bit,Small
103,175.4029999,3.7304185,Bergy bit,Bergy bit
104,113.4889984,2.566340639,Bergy bit,Bergy bit
105,210.6959991,2.459236568,Bergy bit,Bergy bit
106,78.5952988,2.718074479,Bergy bit,Bergy bit
107,61.4107018,2.622521123,Bergy bit,Bergy bit
108,138.2290039,2.5538826,Bergy bit,Bergy bit
109,272.6809998,3.53572972,Bergy bit,Small
110,6093.27002,5.640317416,Small,Medium
111,1100.410034,4.711900374,Bergy bit,Small
112,156.0809937,2.255143063,Bergy bit,Bergy bit
113,1309.109985,3.747588901,Bergy bit,Small
114,870.6069946,4.05671797,Bergy bit,Small
115,48.5732002,2.31951151,Bergy bit,Bergy bit
116,117.7750015,2.364835231,Bergy bit,Bergy bit
117,3145.449951,6.143048113,Small,Small
118,1296.420044,3.545845525,Bergy bit,Small
119,200.6840057,2.39986639,Bergy bit,Bergy bit
120,698.4169922,4.250142216,Bergy bit,Small
121,1860.709961,4.65189943,Bergy bit,Small
122,3283.23999,4.227419054,Bergy bit,Small
123,22187.80078,12.34939601,Small,Large
124,458.4949951,3.60191385,Bergy bit,Small
125,150.7290039,2.204034586,Bergy bit,Bergy bit
126,2996.199951,4.583061348,Bergy bit,Small
127,2064.429932,3.385024255,Bergy bit,Small
128,111.0879974,2.72013453,Bergy bit,Bergy bit
129,46.7029991,2.23184208,Bergy bit,Bergy bit
130,13189.09961,13.58056452,Small,Medium
131,624.5380249,2.760259044,Bergy bit,Small
132,46.9532013,2.526060152,Bergy bit,Bergy bit
133,472.5409851,1.515616755,Bergy bit,Small
134,6864.77002,6.872841726,Small,Medium
135,53.8392982,2.295974368,Bergy bit,Bergy bit
136,6574.009766,8.431731135,Small,Medium
137,625.2039795,1.981225771,Bergy bit,Small
138,32.6977005,2.214995542,Bergy bit,Bergy bit
139,106.4509964,2.554847563,Bergy bit,Bergy bit
140,81.1408997,3.074060826,Bergy bit,Bergy bit
141,1611.630005,3.624003696,Bergy bit,Small
142,1906.300049,3.948241826,Bergy bit,Small
143,80.4735031,2.266084567,Bergy bit,Bergy bit
144,36.9798012,2.371880689,Bergy bit,Bergy bit
145,168.3849945,3.126804631,Bergy bit,Bergy bit
146,2294.320068,4.156498497,Bergy bit,Small
147,471.5130005,3.845807481,Bergy bit,Small
148,144.2960052,2.613205853,Bergy bit,Bergy bit
149,165.1710052,3.097051242,Bergy bit,Bergy bit
150,11265.7998,5.818732244,Small,Medium
151,5589.740234,6.789171479,Small,Medium
152,218.076004,2.404154167,Bergy bit,Bergy bit
153,283.3259888,2.4506969,Bergy bit,Small
154,170.4989929,2.205506513,Bergy bit,Bergy bit
155,442.1830139,3.312798258,Bergy bit,Small
156,524.0380249,2.93216218,Bergy bit,Small
157,60.2541008,2.324322513,Bergy bit,Bergy bit
158,69.4558029,2.091626579,Bergy bit,Bergy bit
159,1350.77002,3.669221275,Bergy bit,Small
160,4672.540039,4.420407462,Bergy bit,Medium
161,9028.469727,3.724797828,Bergy bit,Medium
162,11179.5,16.01974063,Medium,Medium
163,51.9687004,2.45137511,Bergy bit,Bergy bit
164,56.4137993,2.464543791,Bergy bit,Bergy bit
165,46.8142014,2.191423293,Bergy bit,Bergy bit
166,46.5008011,2.063116264,Bergy bit,Bergy bit
167,272.7799988,2.758751821,Bergy bit,Small
168,3995.26001,5.832482287,Small,Medium
169,243.5709991,2.603029882,Bergy bit,Small
170,89.9869995,2.503445393,Bergy bit,Bergy bit
171,13894.7998,10.31732319,Small,Medium
172,1823.550049,1.760283334,Bergy bit,Small
173,196.0590057,2.576592573,Bergy bit,Bergy bit
174,783.0040283,1.196391769,Bergy bit,Small
175,1269.719971,3.527076982,Bergy bit,Small
176,6972,10.01964092,Small,Medium
177,96.6364975,2.728332042,Bergy bit,Bergy bit
178,4073.699951,2.613384187,Bergy bit,Medium
179,314.4330139,2.666084116,Bergy bit,Small
180,206.8670044,2.288060876,Bergy bit,Bergy bit
181,694.0219727,2.600142254,Bergy bit,Small
182,85201.10156,24.46251472,Medium,Very large
183,358.7120056,2.683288561,Bergy bit,Small
184,1286.829956,3.476114952,Bergy bit,Small
185,983.5189819,4.031990467,Bergy bit,Small
186,15663,7.79518385,Small,Large
187,857.6270142,3.090461511,Bergy bit,Small
188,45.1244011,2.784516276,Bergy bit,Bergy bit
189,157.1239929,2.604162824,Bergy bit,Bergy bit
190,10530.90039,3.034649801,Bergy bit,Medium
191,2210.699951,3.414414209,Bergy bit,Small
192,32665.90039,15.26458614,Medium,Large
193,1197.98999,3.375302247,Bergy bit,Small
194,11820.09961,7.609310483,Small,Medium
195,1082.280029,4.743502872,Bergy bit,Small
196,195.9470062,2.500594118,Bergy bit,Bergy bit
197,40.2757988,2.234505587,Bergy bit,Bergy bit
198,294.8770142,1.699331674,Bergy bit,Small
199,228.8500061,4.342107564,Bergy bit,Small
200,983.210022,5.413627572,Small,Small
201,186.3130035,2.546281235,Bergy bit,Bergy bit
202,2055.419922,2.801326689,Bergy bit,Small
203,35.5387001,2.482681625,Bergy bit,Bergy bit
204,611.3099976,6.03791089,Small,Small
205,409.9299927,2.825074033,Bergy bit,Small
206,1187.23999,2.847574724,Bergy bit,Small
207,734.802002,2.680724626,Bergy bit,Small
208,2319.27002,7.622084553,Small,Small
209,3466.530029,3.730950421,Bergy bit,Small
210,620.4819946,2.694450539,Bergy bit,Small
211,63.3665009,2.596597352,Bergy bit,Bergy bit
212,2708.080078,6.807950087,Small,Small
213,480.2229919,3.456713255,Bergy bit,Small
