FID,ICEAREA,H,class_height,class_length
0,5861.290039,11.11549874,Small,Medium
1,747.2670288,5.607395713,Small,Small
2,242.503006,4.518097005,Bergy bit,Small
3,74.6269989,2.831496824,Bergy bit,Bergy bit
4,1336.180054,5.730726566,Small,Small
5,1214.890015,1.257655182,Bergy bit,Small
6,1283.589966,5.357018642,Small,Small
7,1847.329956,4.192562258,Bergy bit,Small
8,8081.669922,10.54129841,Small,Medium
9,4225.430176,6.547268859,Small,Medium
10,428.5759888,3.258377374,Bergy bit,Small
11,23009.19922,15.97724339,Medium,Large
12,30.6868992,2.7168222,Bergy bit,Bergy bit
13,103272,20.679742,Medium,Very large
14,38507.30078,19.39437939,Medium,Large
15,17464.09961,4.913216237,Bergy bit,Large
16,592.4970093,4.102207087,Bergy bit,Small
17,55.3922005,2.754575769,Bergy bit,Bergy bit
18,401.5339966,3.048826927,Bergy bit,Small
19,4572.580078,7.095765105,Small,Medium
20,164.6750031,2.448626777,Bergy bit,Bergy bit
21,243.5549927,2.44907586,Bergy bit,Small
22,63.1565018,2.292179654,Bergy bit,Bergy bit
23,2558.929932,5.051688417,Small,Small
24,3508.290039,5.3840737,Small,Small
25,903.4799805,3.422250687,Bergy bit,Small
26,1631.51001,5.069563372,Small,Small
27,811.4559937,3.034258215,Bergy bit,Small
28,679.9130249,3.463582003,Bergy bit,Small
29,7200.549805,8.654210313,Small,Medium
30,52.9818001,2.435345412,Bergy bit,Bergy bit
31,652.7890015,3.023270135,Bergy bit,Small
32,81299.60156,21.76906878,Medium,Very large
33,2609.929932,7.607719477,Small,Small
34,15649.09961,10.55897774,Small,Large
35,1473.589966,4.174314813,Bergy bit,Small
36,340.9890137,3.175005137,Bergy bit,Small
37,758.2520142,3.532328372,Bergy bit,Small
38,5206.529785,2.466255504,Bergy bit,Medium
39,3768.919922,4.956715519,Bergy bit,Medium
40,4143.979981,4.340540351,Bergy bit,Medium
41,13328.2002,9.549467942,Small,Medium
42,2025.780029,2.517257931,Bergy bit,Small
43,16673.09961,11.57396538,Small,Large
44,3069.790039,5.647955742,Small,Small
45,69.2879028,2.393321036,Bergy bit,Bergy bit
46,3855.719971,4.375457811,Bergy bit,Medium
47,2372.360107,4.595425206,Bergy bit,Small
48,2159.820068,3.506532531,Bergy bit,Small
49,225.1790009,3.154596763,Bergy bit,Small
50,62.6991997,2.384333007,Bergy bit,Bergy bit
51,935.5050049,1.043083581,Bergy bit,Small
52,10894.2998,12.21239524,Small,Medium
53,7428.859863,10.47173776,Small,Medium
54,1929.52002,5.649711035,Small,Small
55,10599.7002,10.29383314,Small,Medium
56,4148.100098,3.961407215,Bergy bit,Medium
57,515.9790039,3.542458483,Bergy bit,Small
58,1171.869995,3.963541054,Bergy bit,Small
59,18657.30078,10.51889537,Small,Large
60,50.0143013,2.232680137,Bergy bit,Bergy bit
61,6428.100098,6.629320962,Small,Medium
62,128.6849976,2.677704514,Bergy bit,Bergy bit
63,1854.449951,3.367294627,Bergy bit,Small
64,337.3519897,4.607286533,Bergy bit,Small
65,2649.199951,2.44963564,Bergy bit,Small
66,5063.120117,6.848977417,Small,Medium
67,594.6669922,3.01286476,Bergy bit,Small
68,1091.050049,4.925385773,Bergy bit,Small
69,1223.540039,4.582459619,Bergy bit,Small
70,40.6273994,2.409044988,Bergy bit,Bergy bit
71,10553.5,2.477277677,Bergy bit,Medium
72,115.4820023,2.454221152,Bergy bit,Bergy bit
73,456.0140076,2.636755375,Bergy bit,Small
